Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1691175814,10,,Aggregated,9.800000,0.000000,100,140,200,260,450,760,1000,1200,2300,2300,2300,317,0,100.0,198.40640403785463,30.668432999998885,2298.4423930000003,55212.801261829656
1691175815,10,,Aggregated,9.900000,0.000000,100,140,200,230,440,710,1000,1200,2300,2300,2300,341,0,100.0,193.38244446627547,30.668432999998885,2298.4423930000003,56527.284457478
1691175816,10,,Aggregated,9.600000,0.000000,100,130,200,220,440,710,1000,1200,2300,2300,2300,347,0,100.0,191.35484928242056,30.668432999998885,2298.4423930000003,56637.46685878962
1691175817,10,,Aggregated,9.900000,0.000000,100,130,200,220,440,700,1000,1200,2300,2300,2300,362,0,100.0,187.54342634530363,30.668432999998885,2298.4423930000003,55695.6408839779
1691175819,10,,Aggregated,10.400000,0.000000,100,130,200,220,440,700,1000,1200,2300,2300,2300,366,0,100.0,187.18669521038228,30.668432999998885,2298.4423930000003,55255.043715846994
1691175820,10,,Aggregated,10.500000,0.000000,100,130,190,220,420,670,1000,1200,2300,2300,2300,383,0,100.0,184.07623293211464,30.668432999998885,2298.4423930000003,56227.48825065274
1691175821,10,,Aggregated,10.400000,0.000000,100,130,190,210,420,670,1000,1200,2300,2300,2300,397,0,100.0,182.21190776826168,30.668432999998885,2298.4423930000003,57077.8765743073
1691175822,10,,Aggregated,11.000000,0.000000,100,130,190,220,400,590,1000,1100,2300,2300,2300,414,0,100.0,181.33974795169055,30.668432999998885,2298.4423930000003,58094.1038647343
1691175823,10,,Aggregated,11.100000,0.000000,100,130,190,220,440,700,1000,1100,2300,2300,2300,429,0,100.0,186.73304539627014,30.668432999998885,2298.4423930000003,58773.77855477855
1691175824,10,,Aggregated,11.400000,0.000000,100,130,190,220,440,700,1000,1100,2300,2300,2300,438,0,100.0,186.1310506506846,30.668432999998885,2298.4423930000003,59160.57077625571
1691175825,10,,Aggregated,11.300000,0.000000,100,130,190,220,420,670,950,1100,2300,2300,2300,455,0,100.0,183.38184107472503,30.668432999998885,2298.4423930000003,59362.22417582417
1691175826,10,,Aggregated,12.000000,0.000000,100,130,190,220,410,590,950,1100,2300,2300,2300,462,0,100.0,182.65572451731578,30.668432999998885,2298.4423930000003,59158.1277056277
1691175827,10,,Aggregated,11.900000,0.000000,100,130,190,220,420,620,950,1100,2300,2300,2300,477,0,100.0,182.24215919287195,30.668432999998885,2298.4423930000003,58989.84905660377
